コーパス3000 STAGE7

present|出席して、参列して
真っ直ぐな|straight
前へ、前もって|ahead
どうぞ|go ahead
反射する|reflect
深い|deep
沈む、沈没する|sink
穴、くぼみ|hole
金属|metal
岩石|rock
土、土壌|soil
公式の、公認された|official
住民、国民|citizen
近所の、隣人|neighbor
性差、性別|gender
現金|cash
税金|tax
収入、所得|income
給料|wage
所有物、財産|property
財産(w)|wealth
貧困|poverty
押す|push
引く|pull
駐車させる|pull in
道路に出る、（駅から）発車する|pull out
押す、記者|press
に怪我をさせる|injure
回復する|recover
ウイルス|virus
伝染病|epidemic
臓器、器官|organ
治療|therapy
奇妙な|strange
（状況・状態などが）異常な|unusual
まれな、珍しい|rare
（驚くほど）異常な|extraordinary
主張する|insist
説得する|persuade
謝る、謝罪する|apologize
引用する|quote
広げる(s)|spread
広げる、広がる、延長する|extend
伸ばす、ストレッチする|strech
取り除く|remove
除去する(e)|eliminate
平和|peace
和解、示談|compromise
安定した|stable
採用する|adopt
許可する|permit
断る、低下する|decline
英雄、ヒーロー|hero
名誉、光栄|honor
誇りに思っている|proud
恥ずかしさ|shame
の方を好む|prefer
一番好きな、お気に入りの|favorite
酷く嫌う、憎む|hate
を嫌う|dislike
前者の|former
最終的な、最後の|final
出版する|publish
広告する、宣伝する|advertise
場面、シーン|scene
法律|law
罪、犯罪|crime
裁判官、審査員、判断する|judge
盗む|steal
法律の、合法的な|legal
有罪の|guilty
優れている|superior
好都合な、便利な|convenient
適した、ふさわしい|suitable



リスニングプラットフォーム 6-10

I'm sorry, I didn't make them.|ごめん、それ(複数のアップルパイ)作ってこなかった。
They were really delicious.|それらは本当においしかった。
That would be fun.|それは(やるとしたら)楽しいだろうけどね。

Yeah, those are roses.|そうさ、あれらはバラだよ。
Yeah, I've heard about them.|うん、それらについて聞いたことがあるよ。

Why don't we go to the post office and then the cafe?|郵便局のあとカフェに行こうか。
The post office is close to the cafe.|郵便局はカフェに近い。
The post office is far away.|郵便局は遠い。


There are four steps in cooking rice.|米の調理には4つの手順がある。
First, measure the rice.|まず米を計量しろ。
Second, wash the rice several times with water.|二番目に、米を水で何度か洗え。
After that, put the rice in a rice cooker.|その後、米を炊飯器に入れろ。

To get to the station, go straight and turn right at the bank.|駅に着くには、まっすぐ行って銀行で右に曲がれ。
After that, keep walking and turn left at the supermarket.|その後、歩き続けてスーパーで左に曲がれ。
After that, you'll see the station in front of you.|その後、目の前に駅が見えるだろう。


Shall we have lunch together?|昼食いっしょにしませんか。
What shall we eat?|何を(一緒に)食べましょうか。
How about Italian food?|イタリア料理はどうですか。

What kind of music do you like?|どんな種類の音楽が好き？
I don't know anything about K-pop.|私はK-popについて何も知らない。
I'd like to hear some K-pop music.|何らかのK-pop音楽を耳に入れたい。

I want to take lessons from a good teacher.|いい先生からレッスンを受けたい。
Maybe later.|また今度かな。


The lessons start on July 12.|レッスンは7月12日に始まる。
Then we'll have a small tea ceremony on July 21.|それから7月21日に小さな茶会がある。
I'll invite my family and friends to that ceremony.|家族と友人をそのセレモニーに呼ぶつもりだ。

I want to change the date from Friday, February 16 to Wednesday, February 14.|その日付を2月16日(金)から2月14日(水)に変えたい。
Please call me by February 7.|2月7日までに電話ください。

Andy's 16th birthday is coming up next week on August 10.|アンディの16回目の誕生日が来週8月10日に来ようとしている。
It's on a Monday this year.|それは今年は月曜にある。
So we decided to have his birthday party two days before his birthday, on Saturday.|だから私たちは彼の誕生日パーティを誕生日の2日前の土曜日にやることにした。
This way many of his friends will be able to come.|こうすれば彼の友達がたくさん来ることができるだろう。


I'll make a salad quickly.|サッとサラダ作るね。

Can I help you with the housework?|家事を手伝っていい？
Could you go shopping for me?|私の代わりに買い物に行ってくれませんか。
